axis,sum_N_g_shoot,Cont_WSC_DM_stem,sum_N_g,N_content_shoot,senesced_mstruct,C_N_ratio,Tillers_Photosynthesis_An,plant,N_content,NNI,NS_roots,mstruct_stem,Cont_WSC_DM_laminae,N_content_mstruct,N_content_total_DM_shoot,sum_dry_mass_roots,C_N_ratio_shoot,mstruct_shoot,sum_C_g,sum_NSC_g,NS_laminae,Tillers_Photosynthesis,NS_stem,C_exudated,sum_dry_mass,Cont_WSC_DM_roots,NS,Cont_WSC_DM,sum_respi_shoot,sum_dry_mass_laminae,shoot_roots_ratio,N_content_roots,dry_mass_phloem,shoot_roots_mstruct_ratio,N_content_mstruct_roots,t,C_respired_shoot,Total_Transpiration,sum_respi_roots,Total_Photosynthesis,NS_shoot,sum_dry_mass_shoot,mstruct,sum_dry_mass_stem,N_content_mstruct_shoot,mstruct_laminae,Cont_WSC_DM_shoot,C_respired_roots
MS,0.00141281,14.493761606740296,0.00202311,4.16061549,0.00000000,15.98680720,0.00000000,1,2.63270126,0.94559443,16.17291614,0.00706950,9.330290366151273,3.58456366,4.16061549,0.04288892,10.10951982,0.02048710,0.03234314,0.00750970,40.15688543,0.00000000,38.71454517,0.38875283,0.07684558,11.279579254371995,26.55448437,11.193317136567202,0.42762581,0.02242130,0.79173511,1.42299793,0.00474027,0.56983761,1.69753958,30.00000000,0.80660802,0.00002462,0.19413861,0.00000000,39.66691062,0.03395666,0.05643963,0.01153536,6.89607565,0.01341761,11.084363880889518,0.85817869
MS,0.00141347,14.37584261391873,0.00202507,4.16539495,0.00000000,15.95908430,0.00000000,1,2.63718714,0.94668067,15.98263076,0.00708166,9.141843559360037,3.58259675,4.16539495,0.04285561,10.09800668,0.02051917,0.03231834,0.00744719,40.01306188,0.00000000,38.59573251,0.38124791,0.07678919,11.076999939661496,26.38894853,11.007929691803152,0.42040192,0.02240073,0.79181186,1.42713407,0.00465682,0.56987961,1.69861789,31.00000000,0.80326827,0.00003916,0.19369931,0.00000000,39.53136058,0.03393358,0.05652533,0.01153285,6.88852104,0.01343751,10.920699061489742,0.85509620
MS,0.00141426,14.25389597947769,0.00202699,4.17019255,0.00000000,15.93188984,0.00000000,1,2.64160525,0.94777103,15.78910467,0.00709378,8.964628529544981,3.58062224,4.17019255,0.04281961,10.08636927,0.02055112,0.03229373,0.00738537,39.87766607,0.00000000,38.47685761,0.37662279,0.07673314,10.87304982052444,26.22496684,10.824379135789773,0.42490029,0.02238327,0.79200934,1.43094983,0.00457117,0.56993401,1.69924547,32.00000000,0.80631519,0.00004999,0.19159830,0.00000000,39.40140509,0.03391353,0.05660990,0.01153026,6.88166542,0.01345734,10.762926975780841,0.84059824
MS,0.00141510,14.129405954086998,0.00202887,4.17482021,0.00000000,15.90516420,0.00000000,1,2.64596449,0.94882278,15.59258804,0.00710599,8.797366876896314,3.57861300,4.17482021,0.04278179,10.07510294,0.02058333,0.03226952,0.00732402,39.75074391,0.00000000,38.35261659,0.36331768,0.07667792,10.666624792250328,26.06173130,10.641857842633655,0.40737332,0.02236930,0.79230296,1.43464758,0.00448626,0.57000167,1.69967014,33.00000000,0.79187240,0.00005810,0.19081994,0.00000000,39.27529193,0.03389614,0.05669433,0.01152684,6.87499429,0.01347734,10.61059839927688,0.83491683
MS,0.00141609,14.004281998973811,0.00203070,4.17961039,0.00000000,15.87910573,0.00000000,1,2.65023093,0.94991145,15.39658842,0.00711810,8.636494964185257,3.57662134,4.17961039,0.04274286,10.06333571,0.02061527,0.03224578,0.00726382,39.62999228,0.00000000,38.22933797,0.35387486,0.07662369,10.462780752203264,25.90127156,10.46250981165836,0.40099853,0.02235740,0.79266658,1.43794294,0.00440259,0.57008224,1.69962761,34.00000000,0.78224686,0.00007221,0.18813421,0.00000000,39.15360661,0.03388083,0.05677718,0.01152343,6.86911772,0.01349717,10.462168002692412,0.81609180
MS,0.00141694,13.880980095058451,0.00203248,4.18400599,0.00000000,15.85385559,0.00000000,1,2.65437955,0.95091045,15.20675991,0.00712996,8.48138716644777,3.57468543,4.18400599,0.04270500,10.05262584,0.02064657,0.03222260,0.00720530,39.51169833,0.00000000,38.10744162,0.34447711,0.07657071,10.263971125324947,25.74508727,10.28792683851715,0.39816717,0.02234581,0.79301530,1.44136238,0.00432051,0.57017463,1.69985529,35.00000000,0.77183010,0.00006264,0.18424878,0.00000000,39.03402051,0.03386572,0.05685752,0.01151990,6.86285372,0.01351660,10.31813522573112,0.78902729
MS,0.00141758,13.757789201223309,0.00203422,4.18779021,0.00000000,15.82893581,0.00000000,1,2.65848979,0.95177050,15.01873050,0.00714194,8.329158239490955,3.57271364,4.18779021,0.04266773,10.04358548,0.02067816,0.03219958,0.00714697,39.39290068,0.00000000,37.98168402,0.33655101,0.07651798,10.064243038838248,25.58906025,10.113672806469202,0.39584043,0.02233439,0.79334527,1.44522653,0.00423891,0.57028140,1.70064126,36.00000000,0.77307278,0.00004400,0.18353459,0.00000000,38.91280482,0.03385024,0.05693775,0.01151585,6.85543051,0.01353623,10.175978298721597,0.78330520
MS,0.00141860,13.633363240174173,0.00203595,4.19234598,0.00000000,15.80428899,0.00000000,1,2.66257088,0.95280590,14.82492600,0.00715408,8.178398656430504,3.57069582,4.19234598,0.04262746,10.03239577,0.02071021,0.03217668,0.00708868,39.27967352,0.00000000,37.85777346,0.32848506,0.07646542,9.863777536558024,25.43271631,9.939238079722692,0.39147997,0.02232552,0.79380645,1.44822555,0.00415829,0.57040397,1.70029268,37.00000000,0.77405896,0.00007827,0.18330318,0.00000000,38.79591129,0.03383795,0.05701818,0.01151243,6.84978090,0.01355613,10.034299720522277,0.78013173
MS,0.00141991,13.50858186786407,0.00203763,4.19743561,0.00000000,15.78029051,0.00000000,1,2.66655836,0.95396264,14.63153233,0.00716612,8.03180090676368,3.56870816,4.19743561,0.04258599,10.01969843,0.02074200,0.03215433,0.00703164,39.17305277,0.00000000,37.73579625,0.31709498,0.07641407,9.667507187994705,25.27945013,9.768282877938457,0.37982658,0.02231886,0.79434749,1.45050985,0.00408048,0.57054044,1.69911665,38.00000000,0.75936621,0.00010557,0.18067882,0.00000000,38.68405950,0.03382808,0.05709701,0.01150922,6.84558628,0.01357588,9.895148879667055,0.76081525
MS,0.00142079,13.389721767152658,0.00203923,4.20147122,0.00000000,15.75745276,0.00000000,1,2.67036377,0.95487982,14.45300002,0.00717768,7.891828020242735,3.56684783,4.20147122,0.04254878,10.00984006,0.02077252,0.03213305,0.00697749,39.06719206,0.00000000,37.61368168,0.30448357,0.07636519,9.481202364217188,25.13379060,9.605703278760148,0.36095415,0.02231119,0.79476794,1.45348866,0.00400639,0.57068596,1.69905275,39.00000000,0.72522947,0.00007332,0.17467912,0.00000000,38.57267017,0.03381641,0.05717173,0.01150522,6.83974255,0.01359484,9.76235392953283,0.71978954
MS,0.00142184,13.272631284628863,0.00204078,4.20591049,0.00000000,15.73520953,0.00000000,1,2.67408189,0.95588875,14.27744426,0.00718901,7.752517063393394,3.56504310,4.20591049,0.04251115,9.99889999,0.02080243,0.03211204,0.00692464,38.96239875,0.00000000,37.49989632,0.30198956,0.07631688,9.300756391170058,24.99159733,9.446925820802809,0.37413700,0.02230334,0.79522051,1.45594036,0.00393285,0.57084237,1.69843322,40.00000000,0.73126767,0.00008652,0.17113663,0.00000000,38.46478234,0.03380574,0.05724407,0.01150240,6.83496484,0.01361342,9.630735754795504,0.69446574
