t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
1085,1,MS,2809359.88692579,5.90000000,0.00236951,2809359.88692579,1
1086,1,MS,2809129.55029593,5.80000000,0.00234947,2809129.55029593,1
1087,1,MS,2808901.97651805,5.80000000,0.00234947,2808901.97651805,1
1088,1,MS,2808670.93812348,6.10000000,0.00241006,2808670.93812348,1
1089,1,MS,2808412.54748716,7.50000000,0.00271217,2808412.54748716,1
1090,1,MS,2808103.58198823,9.60000000,0.00323052,2808103.58198823,1
1091,1,MS,2807753.48217849,10.80000000,0.00356577,2807753.48217849,1
1092,1,MS,2807354.51010244,11.70000000,0.00383765,2807354.51010244,1
1093,1,MS,2806905.75660273,12.20000000,0.00399671,2806905.75660273,1
1094,1,MS,2806396.04376772,12.80000000,0.00419546,2806396.04376772,1
1095,1,MS,2805851.89281320,12.70000000,0.00416172,2805851.89281320,1
1096,1,MS,2805279.88377796,12.60000000,0.00412823,2805279.88377796,1
1097,1,MS,2804702.92309867,12.20000000,0.00399671,2804702.92309867,1
1098,1,MS,2804157.82156081,11.20000000,0.00368437,2804157.82156081,1
1099,1,MS,2803645.72395972,10.30000000,0.00342242,2803645.72395972,1
1100,1,MS,2803165.62911297,9.50000000,0.00320392,2803165.62911297,1
1101,1,MS,2802718.06112812,8.70000000,0.00299822,2802718.06112812,1
1102,1,MS,2802298.96278426,8.00000000,0.00282818,2802298.96278426,1
1103,1,MS,2801907.42087805,7.30000000,0.00266699,2801907.42087805,1
1104,1,MS,2801541.97684440,6.60000000,0.00251423,2801541.97684440,1
1105,1,MS,2801200.91401427,5.90000000,0.00236951,2801200.91401427,1
1106,1,MS,2800877.34487014,5.40000000,0.00227084,2800877.34487014,1
1107,1,MS,2800572.89192874,4.80000000,0.00215741,2800572.89192874,1
1108,1,MS,2800286.19669764,4.20000000,0.00204918,2800286.19669764,1
1109,1,MS,2800011.46615300,3.80000000,0.00197981,2800011.46615300,1
1110,1,MS,2799748.05922056,3.40000000,0.00191260,2799748.05922056,1
1111,1,MS,2799490.22484359,3.20000000,0.00187979,2799490.22484359,1
1112,1,MS,2799222.13949034,3.60000000,0.00194594,2799222.13949034,1
1113,1,MS,2798890.24463235,6.00000000,0.00238971,2798890.24463235,1
1114,1,MS,2798470.62629613,8.70000000,0.00299822,2798470.62629613,1
1115,1,MS,2798032.68406301,9.00000000,0.00307390,2798032.68406301,1
1116,1,MS,2797589.45382493,8.80000000,0.00302325,2797589.45382493,1
1117,1,MS,2797121.10825824,9.00000000,0.00307390,2797121.10825824,1
1118,1,MS,2796624.34880539,9.30000000,0.00315133,2796624.34880539,1
1119,1,MS,2796097.54119364,9.60000000,0.00323052,2796097.54119364,1
1120,1,MS,2795562.14570299,9.40000000,0.00317753,2795562.14570299,1
1121,1,MS,2795056.41426853,8.40000000,0.00292423,2795056.41426853,1
1122,1,MS,2794586.03011772,7.30000000,0.00266699,2794586.03011772,1
1123,1,MS,2794148.33854628,6.30000000,0.00245125,2794148.33854628,1
1124,1,MS,2793739.93610889,5.40000000,0.00227084,2793739.93610889,1
1125,1,MS,2793350.67230994,4.80000000,0.00215741,2793350.67230994,1
1126,1,MS,2792977.64169557,4.30000000,0.00206687,2792977.64169557,1
1127,1,MS,2792617.96168314,3.90000000,0.00199695,2792617.96168314,1
1128,1,MS,2792271.69124214,3.50000000,0.00192921,2792271.69124214,1
1129,1,MS,2791935.83917874,3.20000000,0.00187979,2791935.83917874,1
1130,1,MS,2791613.03466835,2.80000000,0.00181570,2791613.03466835,1
1131,1,MS,2791300.20946877,2.50000000,0.00176895,2791300.20946877,1
1132,1,MS,2791004.75953618,1.90000000,0.00167874,2791004.75953618,1
1133,1,MS,2790723.14032328,1.40000000,0.00160682,2790723.14032328,1
1134,1,MS,2790449.80268998,1.10000000,0.00156503,2790449.80268998,1
1135,1,MS,2790174.10070194,1.20000000,0.00157884,2790174.10070194,1
1136,1,MS,2789880.92594790,1.80000000,0.00166413,2789880.92594790,1
1137,1,MS,2789481.76123584,5.20000000,0.00223244,2789481.76123584,1
1138,1,MS,2788843.99942151,10.60000000,0.00350779,2788843.99942151,1
1139,1,MS,2788140.79470797,11.40000000,0.00374500,2788140.79470797,1
1140,1,MS,2787415.91819195,11.20000000,0.00368437,2787415.91819195,1
1141,1,MS,2786619.22033079,11.70000000,0.00383765,2786619.22033079,1
1142,1,MS,2785743.59315826,12.20000000,0.00399671,2785743.59315826,1
1143,1,MS,2784805.75625618,12.50000000,0.00409499,2784805.75625618,1
1144,1,MS,2783829.65705853,12.60000000,0.00412823,2783829.65705853,1
1145,1,MS,2782866.69505634,12.20000000,0.00399671,2782866.69505634,1
1146,1,MS,2781965.86397007,11.30000000,0.00371457,2781965.86397007,1
1147,1,MS,2781138.11515337,10.30000000,0.00342242,2781138.11515337,1
1148,1,MS,2780381.82791434,9.30000000,0.00315133,2780381.82791434,1
1149,1,MS,2779687.39851128,8.40000000,0.00292423,2779687.39851128,1
1150,1,MS,2779050.75019600,7.50000000,0.00271217,2779050.75019600,1
1151,1,MS,2778467.38467066,6.60000000,0.00251423,2778467.38467066,1
1152,1,MS,2777932.78624524,5.70000000,0.00232958,2777932.78624524,1
1153,1,MS,2777434.37790285,5.00000000,0.00219463,2777434.37790285,1
1154,1,MS,2776973.42583822,4.20000000,0.00204918,2776973.42583822,1
1155,1,MS,2776543.19495965,3.50000000,0.00192921,2776543.19495965,1
1156,1,MS,2776137.93187894,2.90000000,0.00183153,2776137.93187894,1
1157,1,MS,2775752.70580842,2.40000000,0.00175361,2775752.70580842,1
1158,1,MS,2775386.21875565,1.90000000,0.00167874,2775386.21875565,1
1159,1,MS,2775020.30657014,1.90000000,0.00167874,2775020.30657014,1
1160,1,MS,2774627.74871266,2.60000000,0.00178441,2774627.74871266,1
1161,1,MS,2774068.50363183,6.50000000,0.00249307,2774068.50363183,1
1162,1,MS,2773079.28642717,13.20000000,0.00433289,2773079.28642717,1
1163,1,MS,2771831.65835764,15.90000000,0.00537215,2771831.65835764,1
1164,1,MS,2770558.56012151,15.80000000,0.00532998,2770558.56012151,1
1165,1,MS,2769190.46951435,16.30000000,0.00554387,2769190.46951435,1
1166,1,MS,2767719.67139046,16.90000000,0.00581068,2767719.67139046,1
1167,1,MS,2766216.04769398,17.00000000,0.00585625,2766216.04769398,1
1168,1,MS,2764799.86545280,16.20000000,0.00550049,2764799.86545280,1
1169,1,MS,2763490.04873877,15.30000000,0.00512353,2763490.04873877,1
1170,1,MS,2762289.56097799,14.40000000,0.00476999,2762289.56097799,1
1171,1,MS,2761195.35628847,13.50000000,0.00443862,2761195.35628847,1
1172,1,MS,2760184.79477297,12.80000000,0.00419546,2760184.79477297,1
1173,1,MS,2759244.88257536,12.20000000,0.00399671,2759244.88257536,1
1174,1,MS,2758364.35627942,11.70000000,0.00383765,2758364.35627942,1
1175,1,MS,2757533.28298909,11.30000000,0.00371457,2757533.28298909,1
1176,1,MS,2756742.68665871,11.00000000,0.00362463,2756742.68665871,1
1177,1,MS,2755990.35073589,10.70000000,0.00353667,2755990.35073589,1
1178,1,MS,2755268.65107360,10.50000000,0.00347912,2755268.65107360,1
1179,1,MS,2754581.82744548,10.20000000,0.00339438,2754581.82744548,1
1180,1,MS,2753922.81163792,10.00000000,0.00333894,2753922.81163792,1
1181,1,MS,2753290.34648295,9.80000000,0.00328432,2753290.34648295,1
1182,1,MS,2752693.34742184,9.40000000,0.00317753,2752693.34742184,1
1183,1,MS,2752129.58085742,9.00000000,0.00307390,2752129.58085742,1
1184,1,MS,2751588.12635005,8.80000000,0.00302325,2751588.12635005,1
1185,1,MS,2751068.06423325,8.60000000,0.00297337,2751068.06423325,1
1186,1,MS,2750564.12034579,8.50000000,0.00294871,2750564.12034579,1
1187,1,MS,2750071.25817206,8.50000000,0.00294871,2750071.25817206,1
1188,1,MS,2749580.48045708,8.70000000,0.00299822,2749580.48045708,1
1189,1,MS,2749070.38932538,9.30000000,0.00315133,2749070.38932538,1
1190,1,MS,2748530.87872048,10.00000000,0.00333894,2748530.87872048,1
1191,1,MS,2747988.07736006,10.10000000,0.00336656,2747988.07736006,1
1192,1,MS,2747452.23694734,10.00000000,0.00333894,2747452.23694734,1
1193,1,MS,2746929.10367426,9.80000000,0.00328432,2746929.10367426,1
1194,1,MS,2746424.80757940,9.50000000,0.00320392,2746424.80757940,1
1195,1,MS,2745940.11603894,9.20000000,0.00312532,2745940.11603894,1
1196,1,MS,2745482.67367702,8.70000000,0.00299822,2745482.67367702,1
1197,1,MS,2745051.16622282,8.20000000,0.00287584,2745051.16622282,1
1198,1,MS,2744634.18563385,8.00000000,0.00282818,2744634.18563385,1
1199,1,MS,2744228.42870659,7.90000000,0.00280462,2744228.42870659,1
1200,1,MS,2743834.23573074,7.80000000,0.00278124,2743834.23573074,1
1201,1,MS,2743451.53319989,7.70000000,0.00275804,2743451.53319989,1
1202,1,MS,2743083.03913278,7.50000000,0.00271217,2743083.03913278,1
1203,1,MS,2742730.98330944,7.20000000,0.00264466,2742730.98330944,1
1204,1,MS,2742394.30485639,6.90000000,0.00257869,2742394.30485639,1
1205,1,MS,2742066.85772141,6.80000000,0.00255704,2742066.85772141,1
1206,1,MS,2741748.34413522,6.70000000,0.00253555,2741748.34413522,1
1207,1,MS,2741435.03479474,6.70000000,0.00253555,2741435.03479474,1
1208,1,MS,2741117.44643443,7.00000000,0.00260051,2741117.44643443,1
