t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
3,1,MS,1,blade,LeafElement1,18.65774287,0.08267605,18.48566278,0.00000000,2.77969278,234.47087502,3.38888151,0.40144966,9.79051298,0.06715876,0.31627763,0.00000000,0.00002050,948.46248731,NA,13.12009309,0.31312119,0.00024124,0.25186064,0.17208009,0.00000000,77.01531530,0.00000006,5.15266651,257.17241235,2681.88454150,19.68112464,4.51596821,0.00088212,21.89747201,0.00300000,241.60178110,1.25759290,NA,0.44610345,0.04401729,0.00000000,0.00019533,0.55765184,0.04580020,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00018958,16.95924602,0.00000000,0.00000000,1.15744235,21.64944711,0.56522307,0.00128944,0.00232481
3,1,MS,1,sheath,StemElement,1.01460831,0.07550699,1.29097744,0.01188786,1.54206654,16.35230357,2.81781668,0.35410054,-0.28666472,0.02661842,0.28885234,0.00000000,0.00000855,454.20609157,NA,1.46836021,0.28610079,0.00000000,0.03269946,0.00980244,0.01500000,169.00041052,10.72677055,5.54338335,19.00326482,278.60411914,3.26526608,2.00401933,0.00080563,21.58621570,NA,241.60178110,0.62103339,NA,0.15444999,0.04020043,0.01188786,0.00040201,0.21515017,0.01425000,False,False,0.02850000,0.00171000,1185.52087926,0.00171000,1.00000000,0.00126631,2.03351840,0.00000000,0.00000000,0.03361130,4.48022672,0.31880026,0.00003910,0.00448990
3,1,MS,2,blade,LeafElement1,21.08276397,0.11053187,20.88403926,0.00000000,2.29854808,300.78531943,3.97488299,0.54740869,14.03353392,0.07824729,0.42284020,0.00000000,0.00002420,1025.71305372,NA,18.29666850,0.41861950,0.00040734,0.36028713,0.19872471,0.00000000,87.40785114,0.00000003,5.32144229,329.96371845,3161.98583591,26.99869684,4.89206267,0.00117933,22.22137702,0.00330000,161.60178110,1.59387705,NA,0.61636390,0.05884792,0.00000000,0.00024107,0.58760757,0.06174058,False,False,0.09200000,0.00483764,4891.25416020,0.00483764,1.00000000,0.00023148,23.67624836,0.00000000,0.00000000,1.74904405,27.66271014,0.77931397,0.00195753,0.00255729
3,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,5.49512253,6.51984070,0.00000000,0.99440129,-0.00435805,-0.45185686,0.03019565,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000000,0.02192785,0.00000000,0.01500000,0.00000000,10.53533794,3.19219088,0.00000000,0.00000000,4.91470201,0.00000000,0.00000000,10.00000000,NA,161.60178110,0.29504198,NA,0.07267341,0.00000000,6.68891660,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.80537432,0.00000000,0.00000000,0.00000000,5.81267150,0.02192785,0.00000000,0.00448990
3,1,MS,2,sheath,StemElement,1.52029813,0.00087077,1.93486993,0.00051600,3.27809300,41.43124147,2.04761768,0.00362398,0.00024846,0.03093344,0.00333115,0.00000000,0.00000020,289.32582692,NA,0.03860007,0.00329809,0.00000000,0.00069600,0.01423023,0.00244423,83.28513324,1.84848964,4.04177330,45.83938325,642.65497422,0.08892728,1.31732990,0.00000929,17.57829429,NA,161.60178110,0.00760089,NA,0.00262535,0.00046361,0.00051600,0.00000705,0.22498329,0.02875000,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000582,0.06704068,0.00000000,0.00000000,0.00199204,0.11427643,0.00399409,0.00000221,0.00448990
3,1,MS,3,blade,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000,1.20133583,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,False,True,0.00099000,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00099000,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,3,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,927.25425000,NA,NA,NA,NA,NA,0.27972459,NA,NA,NA,NA,NA,NA,26.17348287,0.11292530,NA,6.69832166,0.00400000,81.60178110,2.24000000,NA,0.46295991,NA,0.00000000,0.00000000,0.05000000,0.05104960,False,True,0.00001000,0.00417081,0.00000000,0.00000000,1.00000000,0.00000000,22.44062573,0.00001000,0.00417081,0.00000000,24.53417647,NA,0.00000000,0.00041484
3,1,MS,3,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,5.77091755,18.68379230,0.00000000,0.00000000,0.04338595,-0.58945973,0.07650933,0.00000000,0.00000000,0.00001010,NA,NA,0.00000000,0.00000000,0.00000000,0.04817967,0.00000000,0.01500000,0.00000000,10.18288456,3.97661361,0.00000000,0.00000000,10.96735998,0.00000000,0.00000000,10.00000000,NA,1.20133583,0.37271792,NA,0.00000000,0.00000000,8.89068106,0.00040835,0.00000000,NA,False,False,0.02895000,0.00201801,4934.92763799,0.00201801,1.00000000,0.00000000,9.87321349,0.00000000,0.00000000,0.00000000,4.88924261,0.04817967,0.00000000,0.00448990
3,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20133583,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20133583,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005140,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
