t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
23,1,MS,roots,0.03339579,19.46236125,0.04421413,0.03097681,0.00602616,0.00000198,0.36208398,0.00018328,NA,0.10662187,0.00000000,NA,NA,NA,0.07702772,1.15326795,1.47058978,NA,1.25738179,NA,NA,15.48687636,2.40487018,97.31180626,0.00000000,NA,2.39509965,8.79628901,0.00009351,0.03661757,15.10225252,NA,0.00000000,0.00011395,0.00000000,NA,NA,128.73890451,3.34892982,0.18364960
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94423990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.13967768,NA,NA
24,1,MS,roots,0.03332520,18.55830019,0.04523846,0.03083654,0.00606013,0.00000207,0.35819261,0.00018375,NA,0.10671674,0.00000000,NA,NA,NA,0.07704888,1.15083018,1.46815701,NA,1.25368379,NA,NA,15.57301893,2.27792053,92.79150093,0.00000000,NA,2.44791702,8.83622393,0.00009331,0.03671089,15.01748041,NA,0.00000000,0.00011408,0.00000000,NA,NA,126.82891268,3.34185088,0.18376562
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12235387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.70037692,NA,NA
25,1,MS,roots,0.03323857,26.48561433,0.44675836,0.34785578,0.07007136,0.00000217,0.43951698,0.00018422,NA,0.10684578,0.00000000,NA,NA,NA,0.07717602,1.14783878,1.46621522,NA,1.24771622,NA,NA,15.24335470,3.26003333,132.42807164,0.00000000,NA,2.08501421,8.81196851,0.00009307,0.03680395,14.61093717,NA,0.00000000,0.00132266,0.00000000,NA,NA,125.64448020,3.33316428,0.18402180
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30200642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.79954166,NA,NA
26,1,MS,roots,0.03320324,34.20944316,0.38891325,0.33797690,0.06978975,0.00000226,0.49554445,0.00018468,NA,0.10705157,0.00000000,NA,NA,NA,0.07544364,1.14661859,1.46533759,NA,1.24285424,NA,NA,15.00894382,4.13321528,171.04721582,0.00000000,NA,1.81740009,8.78790831,0.00009297,0.03689692,14.21436067,NA,0.00000000,0.00132095,0.00000000,NA,NA,125.46249799,3.32962102,0.18249521
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46901095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.69077066,NA,NA
27,1,MS,roots,0.03324669,42.03839981,0.34845781,0.32861138,0.06956647,0.00000236,0.54154959,0.00018515,NA,0.10735054,0.00000000,NA,NA,NA,0.07441619,1.14811909,1.46573191,NA,1.23934414,NA,NA,14.85392996,4.96814102,210.19199904,0.00000000,NA,1.62913955,8.76403455,0.00009309,0.03699001,13.82716660,NA,0.00000000,0.00132031,0.00000000,NA,NA,126.46380008,3.33397827,0.18176673
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.60448216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.97086396,NA,NA
