t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,LSIW,LSSW,Nstruct,Respi_growth,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,amino_acids,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,fructan,hiddenzone_age,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Lmax_em,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,mean_conc_sucrose,mstruct,nb_replications,proteins,ratio_DZ,sheath_Lmax,sucrose,sucrose_consumption_mstruct
3,1,MS,9,0.00000040,0.00012937,9.68251177,NA,NA,0.00000000,0.00001327,NA,113.18639273,233.02701863,0.00011592,0.00033478,0.00005994,0.00000000,0.00000000,0.00000000,0.00000035,0.00000000,0.00000000,0.00012937,559452.82394462,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007946,NA,NA,NA,0.00000000,0.00000050,False,True,False,0.00000000,0.02900000,NA,0.00000050,1,0.00928390,1.00000000,NA,0.00141933,0.00003981
3,1,MS,10,0.00000020,0.00007511,9.68575248,NA,NA,0.00000000,0.00000677,NA,113.18669139,233.03236211,0.00006727,0.00019430,0.00003479,0.00000000,0.00000000,0.00000000,0.00000020,0.00000000,0.00000000,0.00007511,11532.82394462,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005025,NA,NA,NA,0.00000000,0.00000029,False,True,False,0.00000000,0.02900000,NA,0.00000029,1,0.00538951,1.00000000,NA,0.00082368,0.00002030
4,1,MS,3,0.00103037,4.34011870,2.68683396,1.00000000,0.09000000,0.00001018,0.03444169,21.00000000,0.00000028,79.22781092,0.05693725,-5.59149890,0.26030042,0.00000000,0.00000000,0.00000000,0.00028565,2883.20598615,0.00000000,8.89258397,3849856.02993077,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,878416.02993077,False,0.09725479,0.09393964,0.12783170,0.12300000,0.00400000,0.00001017,0.00203244,True,True,False,1584416.02993077,0.02895000,1800.00000000,0.00203376,1,10.50921814,0.00000000,0.03057691,6.61883987,0.10332507
4,1,MS,4,0.00162919,2.10218759,4.42468261,NA,NA,0.00000418,0.05445841,NA,122.87938413,125.91061457,0.10762635,0.47685142,0.10687364,0.00000007,-0.00000000,0.00000000,0.00018746,2883.20598615,-0.00000007,2.10218759,3301936.02993077,0.00001035,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02743627,0.13397521,0.13300000,NA,0.00000418,0.00083559,False,True,False,771416.02993077,0.02893972,1811.82562873,0.00083576,1,7.11207683,0.28556340,0.03399352,2.71549910,0.16337523
4,1,MS,5,0.00004973,0.01125608,9.65089714,NA,NA,0.00000015,0.00166230,NA,122.88982587,242.89959725,0.00719050,0.01890184,0.00382446,0.00000036,-0.00000007,0.00000000,0.00001684,0.00000000,-0.00000042,0.01125608,2754016.02993077,0.00005175,NA,NA,0.02893972,0.00000000,0.00000002,True,False,False,0.00000000,False,NA,0.00205362,NA,NA,NA,0.00000015,0.00002987,False,True,False,0.00000000,0.02888832,1824.39548465,0.00002989,1,0.55484230,1.00000000,NA,0.09714000,0.00498691
4,1,MS,6,0.00000861,0.00327925,9.74312633,NA,NA,0.00000004,0.00028776,NA,122.89184600,242.94185892,0.00209019,0.00550502,0.00111224,0.00000000,0.00000000,0.00000000,0.00000399,0.00000000,0.00000000,0.00327925,2206096.02993077,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00077462,NA,NA,NA,0.00000004,0.00000869,False,True,False,0.00000000,0.02900000,NA,0.00000869,1,0.16286071,1.00000000,NA,0.02824399,0.00086329
4,1,MS,7,0.00000267,0.00107484,9.74142322,NA,NA,0.00000001,0.00008910,NA,122.89308389,242.96759832,0.00068490,0.00180358,0.00036447,0.00000000,0.00000000,0.00000000,0.00000158,0.00000000,0.00000000,0.00107484,1658176.02993077,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00032188,NA,NA,NA,0.00000001,0.00000285,False,True,False,0.00000000,0.02900000,NA,0.00000285,1,0.05334982,1.00000000,NA,0.00925392,0.00026730
4,1,MS,8,0.00000091,0.00040878,9.76115749,NA,NA,0.00000001,0.00003048,NA,122.89384000,242.98334254,0.00026045,0.00068612,0.00013861,0.00000000,0.00000000,0.00000000,0.00000067,0.00000000,0.00000000,0.00040878,1110256.02993077,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00014933,NA,NA,NA,0.00000001,0.00000108,False,True,False,0.00000000,0.02900000,NA,0.00000108,1,0.02032888,1.00000000,NA,0.00351910,0.00009144
4,1,MS,9,0.00000040,0.00018862,9.77986251,NA,NA,0.00000000,0.00001343,NA,122.89429194,242.99275154,0.00012018,0.00031671,0.00006396,0.00000000,0.00000000,0.00000000,0.00000035,0.00000000,0.00000000,0.00018862,562336.02993077,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007982,NA,NA,NA,0.00000000,0.00000050,False,True,False,0.00000000,0.02900000,NA,0.00000050,1,0.00939841,1.00000000,NA,0.00162384,0.00004030
4,1,MS,10,0.00000020,0.00010949,9.78574518,NA,NA,0.00000000,0.00000685,NA,122.89454721,242.99806037,0.00006972,0.00018377,0.00003711,0.00000000,0.00000000,0.00000000,0.00000020,0.00000000,0.00000000,0.00010949,14416.02993077,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00005045,NA,NA,NA,0.00000000,0.00000029,False,True,False,0.00000000,0.02900000,NA,0.00000029,1,0.00545595,1.00000000,NA,0.00094211,0.00002054
