Nstruct,delta_leaf_L,sucrose,leaf_pseudostem_length,S_Proteins,RER,internode_L,plant,sum_dry_mass,Cont_Proteins_DM,Unloading_Amino_Acids,Conc_Amino_Acids,t,Respi_growth,D_Fructan,N_content,ratio_DZ,leaf_is_emerged,D_Proteins,Conc_Sucrose,Cont_WSC_DM,fructan,mstruct,axis,AA_consumption_mstruct,Conc_Proteins,leaf_L,Cont_Fructan_DM,Unloading_Sucrose,sucrose_consumption_mstruct,amino_acids,nb_replications,proteins,S_Fructan,Conc_Fructan,metamer
0.00000001,0.00000161,0.01030479,0.02900000,250.63385899,0.00000138,0.00000000,1,0.00000883,56.70868121,0.00070453,107.35839603,5.00000000,0.00008970,0.00143854,8.78478113,1.00000000,False,9.83940223,300.76906222,3.79837660,0.00143854,0.00000286,MS,0.00000268,1.96242587,0.00032349,0.46529590,0.00174128,0.00026911,0.00038315,1,0.05402860,130.78897383,83.97433151,7
0.00000001,0.00000068,0.00391768,0.02900000,250.64951198,0.00000126,0.00000000,1,0.00000336,56.75546072,0.00026784,107.36870044,5.00000000,0.00003067,0.00054700,8.79209764,1.00000000,False,9.86167016,300.77171177,3.79303681,0.00054700,0.00000109,MS,0.00000092,1.96686711,0.00015001,0.46470970,0.00066229,0.00009200,0.00014568,1,0.02058693,130.78964297,83.98905879,8
0.00000000,0.00000036,0.00180757,0.02900000,250.65886432,0.00000124,0.00000000,1,0.00000155,56.79677057,0.00012357,107.37485745,5.00000000,0.00001351,0.00025239,8.79805761,1.00000000,False,9.88136720,300.77329535,3.78826597,0.00025239,0.00000050,MS,0.00000040,1.97079560,0.00008017,0.46413817,0.00030569,0.00004054,0.00006722,1,0.00951746,130.79004289,83.99217706,9
0.00000000,0.00000021,0.00104841,0.02900000,250.66414302,0.00000114,0.00000000,1,0.00000090,56.81455762,0.00007167,107.37833272,5.00000000,0.00000688,0.00014646,8.80117740,1.00000000,False,9.88992866,300.77419000,3.78642295,0.00014646,0.00000029,MS,0.00000021,1.97250315,0.00005066,0.46412276,0.00017734,0.00002065,0.00003899,1,0.00552500,130.79026883,84.03584165,10
0.00001021,0.00028958,8.04397958,0.02895000,83.51546763,0.00000085,0.00005000,1,0.00367557,27.32085739,0.06185354,111.00878080,6.00000000,0.03444169,3.60008179,4.51095958,0.00000000,True,2.76126387,328.66995514,13.15386676,8.87780428,0.00203953,MS,0.00103037,0.55072204,0.09451723,6.90101325,-6.07972431,0.10332507,0.28300692,1,10.83098356,0.00000024,725.47860308,3
0.00000423,0.00019195,3.32762615,0.02893958,131.67334386,0.00000192,0.00001049,1,0.00177773,38.18689347,0.11082493,110.91741628,6.00000000,0.05477080,2.31891132,6.09636318,0.27942066,False,4.50584148,328.19441056,9.07505199,2.31891132,0.00084493,MS,0.00163854,0.89867044,0.02781817,3.72692839,0.44138516,0.16431240,0.11714719,1,7.32197581,137.46016830,457.41540602,4
0.00000015,0.00001747,0.11885624,0.02888747,256.05158180,0.00000232,0.00005247,1,0.00009359,56.39830675,0.00755125,110.96664811,6.00000000,0.00169669,0.01913217,8.73996093,1.00000000,False,9.81006203,328.22895409,4.21234226,0.01913217,0.00003018,MS,0.00005076,1.95657410,0.00208827,0.58404354,0.01777454,0.00509008,0.00418568,1,0.56933240,137.46826122,105.66935927,5
0.00000004,0.00000412,0.03442542,0.02900000,256.09339178,0.00000146,0.00000000,1,0.00002733,56.66792037,0.00218633,110.99482339,6.00000000,0.00029100,0.00555997,8.77866414,1.00000000,False,9.93872275,328.23582120,4.17971462,0.00555997,0.00000874,MS,0.00000871,1.98223492,0.00078280,0.58118975,0.00516205,0.00087300,0.00121262,1,0.16706017,137.46986998,106.02527532,6
0.00000001,0.00000163,0.01127569,0.02900000,256.11875599,0.00000139,0.00000000,1,0.00000895,56.67052258,0.00071617,111.01191853,6.00000000,0.00009003,0.00182190,8.77867120,1.00000000,False,9.94007105,328.24002629,4.17964360,0.00182190,0.00000286,MS,0.00000269,1.98250383,0.00032512,0.58139552,0.00169080,0.00027008,0.00039724,1,0.05472554,137.47085508,106.07233134,7
0.00000001,0.00000069,0.00428565,0.02900000,256.13427270,0.00000127,0.00000000,1,0.00000341,56.72211934,0.00027219,111.02237752,6.00000000,0.00003076,0.00069270,8.78667503,1.00000000,False,9.96490365,328.24259457,4.17325647,0.00069270,0.00000109,MS,0.00000092,1.98745658,0.00015070,0.58067921,0.00064297,0.00009227,0.00015099,1,0.02085181,137.47145674,106.10970189,8
