t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
104,1,MS,5.51467258,False,0.00000000,10.00000000,0.00432821,1,2883.20598615,2883.20598615,0.07027408,10,0.00000000,vegetative,42.04675396,0.61774871,3.16395660,302736.62854622
105,1,MS,5.57506923,False,0.00000000,10.00000000,0.00433462,1,2883.20598615,2883.20598615,0.07045499,10,0.00000000,vegetative,42.44719924,0.62572776,3.14349614,305619.83453238
106,1,MS,5.61968323,False,0.00000000,10.00000000,0.00434103,1,2883.20598615,2883.20598615,0.07063642,10,0.00000000,vegetative,42.84764452,0.63336874,3.12652620,308503.04051853
107,1,MS,5.65432650,False,0.00000000,10.00000000,0.00434141,1,2883.20598615,2883.20598615,0.07081836,10,0.00000000,vegetative,43.24808979,0.64068515,3.10619176,311386.24650469
108,1,MS,5.68355329,False,0.00000000,10.00000000,0.00434408,1,2883.20598615,2883.20598615,0.07100081,10,0.00000000,vegetative,43.64853507,0.64769876,3.09402855,314269.45249084
109,1,MS,4.12994559,False,0.00000000,10.00000000,0.00012917,1,2883.20598615,2883.20598615,0.07118375,10,0.00000000,vegetative,44.04898034,0.65038442,0.80251037,317152.65847700
110,1,MS,2.83309135,False,0.00000000,10.00000000,0.00012936,1,2883.20598615,2883.20598615,0.07136716,10,0.00000000,vegetative,44.44942562,0.65133108,0.79893523,320035.86446315
111,1,MS,2.04322655,False,0.00000000,10.00000000,0.00012942,1,2883.20598615,2883.20598615,0.07155099,10,0.00000000,vegetative,44.84987090,0.65036862,0.79805335,322919.07044930
112,1,MS,1.60259606,False,0.00000000,10.00000000,0.00012961,1,2883.20598615,2883.20598615,0.07173524,10,0.00000000,vegetative,45.25031617,0.64829794,0.79807705,325802.27643546
113,1,MS,1.35653995,False,0.00000000,10.00000000,0.00012980,1,2883.20598615,2883.20598615,0.07191989,10,0.00000000,vegetative,45.65076145,0.64563553,0.79848172,328685.48242161
114,1,MS,1.21419201,False,0.00000000,10.00000000,0.00012999,1,2883.20598615,2883.20598615,0.07210495,10,0.00000000,vegetative,46.05120672,0.64267524,0.79906504,331568.68840777
115,1,MS,1.13369032,False,0.00000000,10.00000000,0.00013018,1,2883.20598615,2883.20598615,0.07229040,10,0.00000000,vegetative,46.45165200,0.63952307,0.79974506,334451.89439392
116,1,MS,1.07925765,False,0.00000000,10.00000000,0.00013037,1,2883.20598615,2883.20598615,0.07247626,10,0.00000000,vegetative,46.85209728,0.63632895,0.80045635,337335.10038008
117,1,MS,1.05943966,False,0.00000000,10.00000000,0.00013055,1,2883.20598615,2883.20598615,0.07266143,10,0.00000000,vegetative,47.25254255,0.63311099,0.80120258,340218.30636623
118,1,MS,1.03217544,False,0.00000000,10.00000000,0.00013074,1,2883.20598615,2883.20598615,0.07284795,10,0.00000000,vegetative,47.65298783,0.62985355,0.80191704,343101.51235239
119,1,MS,1.02230633,False,0.00000000,10.00000000,0.00013093,1,2883.20598615,2883.20598615,0.07303485,10,0.00000000,vegetative,48.05343310,0.62667340,0.80263709,345984.71833854
120,1,MS,1.01648445,False,0.00000000,10.00000000,0.00013111,1,2883.20598615,2883.20598615,0.07322213,10,0.00000000,vegetative,48.45387838,0.62352612,0.80333268,348867.92432469
121,1,MS,2.01373143,False,0.00000000,10.00000000,0.00441983,1,2883.20598615,2883.20598615,0.07341419,10,0.00000000,vegetative,48.85432365,0.62665216,4.38160318,351751.13031085
122,1,MS,3.64551926,False,0.00000000,10.00000000,0.00442607,1,2883.20598615,2883.20598615,0.07360198,10,0.00000000,vegetative,49.25476893,0.62771237,3.78387965,354634.33629700
123,1,MS,4.67484975,False,0.00000000,10.00000000,0.00442668,1,2883.20598615,2883.20598615,0.07379021,10,0.00000000,vegetative,49.65521421,0.63427949,3.72070797,357517.54228316
124,1,MS,5.24843106,False,0.00000000,10.00000000,0.00442877,1,2883.20598615,2883.20598615,0.07397891,10,0.00000000,vegetative,50.05565948,0.64323529,3.66461736,360400.74826931
125,1,MS,5.56999632,False,0.00000000,10.00000000,0.00443484,1,2883.20598615,2883.20598615,0.07416808,10,0.00000000,vegetative,50.45610476,0.65259270,3.61830384,363283.95425547
126,1,MS,5.75229087,False,0.00000000,10.00000000,0.00444089,1,2883.20598615,2883.20598615,0.07435772,10,0.00000000,vegetative,50.85655003,0.66194489,3.57742190,366167.16024162
127,1,MS,5.86476357,False,0.00000000,10.00000000,0.00444695,1,2883.20598615,2883.20598615,0.07454784,10,0.00000000,vegetative,51.25699531,0.67091411,3.54223733,369050.36622778
128,1,MS,5.93053528,False,0.00000000,10.00000000,0.00444867,1,2883.20598615,2883.20598615,0.07473844,10,0.00000000,vegetative,51.65744059,0.67963987,3.50942052,371933.57221393
129,1,MS,5.98691098,False,0.00000000,10.00000000,0.00445475,1,2883.20598615,2883.20598615,0.07492951,10,0.00000000,vegetative,52.05788586,0.68781370,3.48367018,374816.77820008
130,1,MS,6.02719220,False,0.00000000,10.00000000,0.00446295,1,2883.20598615,2883.20598615,0.07512105,10,0.00000000,vegetative,52.45833114,0.69568288,3.46413829,377699.98418624
131,1,MS,6.06289985,False,0.00000000,10.00000000,0.00446902,1,2883.20598615,2883.20598615,0.07531306,10,0.00000000,vegetative,52.85877641,0.70319863,3.44582693,380583.19017239
132,1,MS,6.09269868,False,0.00000000,10.00000000,0.00447213,1,2883.20598615,2883.20598615,0.07550555,10,0.00000000,vegetative,53.25922169,0.71043982,3.42964347,383466.39615855
133,1,MS,4.30914506,False,0.00000000,10.00000000,0.00013365,1,2883.20598615,2883.20598615,0.07569851,10,0.00000000,vegetative,53.65966696,0.71277810,0.89173896,386349.60214470
134,1,MS,2.80276525,False,0.00000000,10.00000000,0.00013384,1,2883.20598615,2883.20598615,0.07589190,10,0.00000000,vegetative,54.06011224,0.71311269,0.88870357,389232.80813086
135,1,MS,1.98813235,False,0.00000000,10.00000000,0.00013404,1,2883.20598615,2883.20598615,0.07608736,10,0.00000000,vegetative,54.46055752,0.71142937,0.88824217,392116.01411701
136,1,MS,1.58277309,False,0.00000000,10.00000000,0.00013422,1,2883.20598615,2883.20598615,0.07628149,10,0.00000000,vegetative,54.86100279,0.70871594,0.88859417,394999.22010317
137,1,MS,1.36787354,False,0.00000000,10.00000000,0.00013440,1,2883.20598615,2883.20598615,0.07647600,10,0.00000000,vegetative,55.26144807,0.70551163,0.88930083,397882.42608932
138,1,MS,1.25840302,False,0.00000000,10.00000000,0.00013459,1,2883.20598615,2883.20598615,0.07667091,10,0.00000000,vegetative,55.66189334,0.70207454,0.89018203,400765.63207548
139,1,MS,1.19703681,False,0.00000000,10.00000000,0.00013479,1,2883.20598615,2883.20598615,0.07686619,10,0.00000000,vegetative,56.06233862,0.69852963,0.89113341,403648.83806163
140,1,MS,1.16704009,False,0.00000000,10.00000000,0.00013498,1,2883.20598615,2883.20598615,0.07706187,10,0.00000000,vegetative,56.46278390,0.69498386,0.89211612,406532.04404778
141,1,MS,1.14294358,False,0.00000000,10.00000000,0.00013517,1,2883.20598615,2883.20598615,0.07725793,10,0.00000000,vegetative,56.86322917,0.69144562,0.89309515,409415.25003394
142,1,MS,1.13152568,False,0.00000000,10.00000000,0.00013552,1,2883.20598615,2883.20598615,0.07745438,10,0.00000000,vegetative,57.26367445,0.68792399,0.89416276,412298.45602009
143,1,MS,1.12654308,False,0.00000000,10.00000000,0.00013570,1,2883.20598615,2883.20598615,0.07765122,10,0.00000000,vegetative,57.66411972,0.68445394,0.89512539,415181.66200625
144,1,MS,1.12822541,False,0.00000000,10.00000000,0.00013573,1,2883.20598615,2883.20598615,0.07784845,10,0.00000000,vegetative,58.06456500,0.68102535,0.89598854,418064.86799240
