N_content_mstruct,NNI,C_N_ratio_shoot,Cont_WSC_DM_laminae,Cont_WSC_DM_shoot,mstruct,dry_mass_phloem,N_content_shoot,NS_roots,C_exudated,Total_Photosynthesis,Cont_WSC_DM_stem,NS_shoot,mstruct_stem,N_content_roots,sum_NSC_g,sum_dry_mass_laminae,C_respired_roots,N_content_mstruct_roots,mstruct_shoot,Cont_WSC_DM,shoot_roots_ratio,sum_dry_mass,sum_dry_mass_shoot,sum_dry_mass_stem,plant,C_N_ratio,sum_respi_shoot,Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass_roots,N_content,senesced_mstruct,N_content_total_DM_shoot,Tillers_Photosynthesis,C_respired_shoot,sum_respi_roots,axis,Total_Transpiration,t,NS_laminae,sum_N_g_shoot,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,sum_C_g,NS_stem,NS,mstruct_laminae,Cont_WSC_DM_roots
1.05081516,0.41188381,24.67217902,16.410803982561433,17.983130505706864,1.77250924,0.15512265,1.74385606,14.59695013,30.42467586,156.36510193,19.73051976580948,28.24291296,0.21205316,0.45070992,0.16992484,0.35748138,40.11116396,0.52774453,0.48733709,15.529075235799944,0.45131185,2.18398005,0.67914838,0.32166700,1,50.99534619,6.11114715,157.87490823,0.01862580,1.50483168,0.85283727,0.06963081,1.73129581,156.36510193,16.69670120,2.14442680,MS,0.01547767,1230.00000000,22.99349026,0.01184337,0.37919985,2.43022136,0.94982890,34.07680606,18.84041082,0.27528393,14.421530999787317
1.04893734,0.41191085,24.66802042,16.340133143193754,17.91936374272008,1.77586808,0.15382087,1.74420125,14.46829690,30.49177371,156.38754311,19.669005824649847,28.17934895,0.21255429,0.45052108,0.16899154,0.35685085,40.04261348,0.52672993,0.48762285,15.423929701395927,0.45077859,2.18510627,0.67894518,0.32209433,1,51.01924941,6.10415204,157.89998954,0.01862774,1.50616109,0.85248684,0.07022814,1.73093553,156.38754311,16.64660544,2.14119019,MS,0.01548578,1231.00000000,22.91778020,0.01184217,0.37851710,2.42855115,0.95037349,34.00868261,18.72852571,0.27506856,14.299041455512699
1.04708884,0.41198554,24.65849255,16.263538913383073,17.836301111744056,1.77921776,0.15268170,1.74493657,14.34939681,30.86541167,156.42742032,19.574113552502407,28.09874796,0.21304980,0.45032043,0.16806016,0.35620353,39.97238351,0.52576446,0.48790487,15.319026796446094,0.45008822,2.18622815,0.67857632,0.32237279,1,51.04221414,6.09420797,157.92471904,0.01862999,1.50765183,0.85215217,0.07082548,1.73088221,156.42742032,16.59210416,2.13806565,MS,0.01548022,1232.00000000,22.83763532,0.01184073,0.37783629,2.42685144,0.95091597,33.91197707,18.61701369,0.27485507,14.186031286607165
1.04526394,0.41206489,24.64807254,16.17885005290399,17.749075220484976,1.78255840,0.15153207,1.74573818,14.23308905,31.23862742,156.44920447,19.479382724890915,28.01433344,0.21353963,0.45014040,0.16713039,0.35552972,39.90589719,0.52484157,0.48818303,15.21436616916794,0.44936183,2.18734501,0.67816700,0.32263728,1,51.06449191,6.08264802,157.94859232,0.01863244,1.50917802,0.85182905,0.07142282,1.73086833,156.44920447,16.53441063,2.13527634,MS,0.01548924,1233.00000000,22.75092794,0.01183902,0.37715723,2.42511914,0.95145609,33.81433602,18.50584212,0.27464341,14.075364670046808
1.04346305,0.41214122,24.63753825,16.08990666158617,17.660248905520167,1.78589016,0.15039604,1.74654983,14.11863829,31.35376088,156.50926368,19.38598532704531,27.92833417,0.21402366,0.44998662,0.16620569,0.35484510,39.84340996,0.52396307,0.48845716,15.110260487478186,0.44861718,2.18846522,0.67773813,0.32289303,1,51.08623832,6.07059184,158.00996613,0.01863510,1.51072709,0.85151474,0.07202015,1.73084840,156.50926368,16.47423448,2.13263743,MS,0.01550208,1234.00000000,22.66104260,0.01183703,0.37647968,2.42335155,0.95199736,33.71685379,18.39531466,0.27443350,13.966291864198134
1.04168915,0.41221140,24.62719182,15.998569785451458,17.570774851729716,1.78921285,0.14927268,1.74734965,14.00564569,31.41190526,156.52786356,19.293888904611727,27.84157128,0.21450178,0.44986574,0.16528634,0.35415706,39.78058759,0.52313404,0.48872711,15.006720556287368,0.44786147,2.18958933,0.67729732,0.32314026,1,51.10731557,6.05648509,158.03010625,0.01863804,1.51229201,0.85121150,0.07261749,1.73080535,156.52786356,16.41014885,2.13000821,MS,0.01551082,1235.00000000,22.56957410,0.01183475,0.37580351,2.42154615,0.95253999,33.61960407,18.28545982,0.27422532,13.858379429088263
1.03991804,0.41226973,24.61790209,15.903071000504006,17.478485461253474,1.79256650,0.14813319,1.74807898,13.89157544,31.28500020,156.41683317,19.200803387719315,27.75134252,0.21497386,0.44978130,0.16434954,0.35351373,39.71637665,0.52234297,0.48903299,14.901432017057475,0.44712795,2.19070292,0.67687484,0.32336111,1,51.12748369,6.03798143,157.89428128,0.01864122,1.51382808,0.85092425,0.07321483,1.73069195,156.41683317,16.82066962,2.12728514,MS,0.01548042,1236.00000000,22.47567731,0.01183231,0.37515950,2.41953143,0.95307880,33.51895034,18.17391220,0.27405912,13.749159401967134
1.03820000,0.41306701,24.52356867,15.261712637641375,17.067143889305918,1.79586700,0.14571379,1.75504715,13.69188507,26.02494176,0.12152365,19.025375786404965,27.37778144,0.21543821,0.45051262,0.16166372,0.35055096,39.64502781,0.52198176,0.48929108,14.634230700062673,0.44505611,2.18759907,0.67374847,0.32319750,1,51.05180815,3.38167566,0.00001893,0.01864469,1.51385060,0.85229014,0.07381216,1.73568438,0.12152365,13.59394261,2.12200196,MS,0.00091008,1237.00000000,21.87929617,0.01182460,0.37448347,2.41668072,0.95184520,33.34162484,17.90694067,0.27385288,13.5514478089924
1.03640496,0.41373940,24.44502503,14.730619723179494,16.708421867279,1.79921041,0.14311793,1.76090304,13.47055827,23.75887507,0.12152365,18.840401926264423,27.05030771,0.21589612,0.45119324,0.15901840,0.34816673,39.46909289,0.52143321,0.48960563,14.370176274279887,0.44345197,2.18463399,0.67115517,0.32298844,1,50.98222630,3.32720743,0.00001583,0.01864711,1.51347882,0.85355744,0.04118764,1.73976143,0.12152365,13.48597697,2.11316835,MS,0.00090911,1238.00000000,21.38550832,0.01181839,0.37385755,2.41385945,0.95067097,33.15670181,17.64247863,0.27370951,13.333276657266882
1.03463001,0.41429519,24.38076972,14.267267995005401,16.383393529697717,1.80267555,0.14043200,1.76574953,13.23541390,22.12215546,0.12152365,18.653559129207892,26.75005898,0.21634718,0.45197820,0.15640673,0.34625931,39.24349392,0.52092475,0.49005933,14.107493362107384,0.44222787,2.18187141,0.66902351,0.32276420,1,50.91323975,3.28014925,0.00001269,0.01865102,1.51284790,0.85481766,0.04157990,1.74321779,0.12152365,13.37932686,2.10235008,MS,0.00090907,1239.00000000,20.95168697,0.01181328,0.37334548,2.41058150,0.94958397,32.97051446,17.37938648,0.27371215,13.10102686795877
1.03290603,0.41479073,24.32334943,13.856246138794011,16.083252615448004,1.80611414,0.13770420,1.77011046,12.99207657,20.92463858,0.12152365,18.462666162163913,26.47191984,0.21679068,0.45282900,0.15382585,0.34458681,38.97431639,0.52044570,0.49050730,13.847007292711435,0.44118926,2.17915607,0.66710201,0.32251521,1,50.84388072,3.23731959,0.00000953,0.01865546,1.51205406,0.85608654,0.04197217,1.74626412,0.12152365,13.26814583,2.09004927,MS,0.00090901,1240.00000000,20.56671365,0.01180844,0.37283730,2.40739383,0.94851607,32.78125381,17.11864221,0.27371662,12.86039987245208
1.03122507,0.41524341,24.27076526,13.481567590989393,15.800938109378817,1.80952187,0.13492728,1.77412859,12.74356132,20.19377057,0.12152365,18.27022585591167,26.20965577,0.21722526,0.45372539,0.15127269,0.34307885,38.66790265,0.51999072,0.49094815,13.588528995692842,0.44028021,2.17647620,0.66532845,0.32224959,1,50.77438202,3.19783864,0.00000634,0.01866024,1.51114776,0.85736031,0.04236443,1.74901877,0.12152365,13.14361304,2.07638528,MS,0.00090748,1241.00000000,20.21575003,0.01180378,0.37233273,2.40428285,0.94746232,32.59098980,16.86002061,0.27372289,12.614449054741995
