t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
1996,1,MS,127041.65253350,7.16060606,0.00263591,127041.65253350,1
1997,1,MS,126557.70994891,7.08181818,0.00261849,126557.70994891,1
1998,1,MS,126071.45635072,6.99393939,0.00259919,126071.45635072,1
1999,1,MS,125587.56520963,6.88484849,0.00257540,125587.56520963,1
2000,1,MS,125108.66725971,6.77878788,0.00255247,125108.66725971,1
2001,1,MS,124636.06039669,6.68484848,0.00253231,124636.06039669,1
2002,1,MS,124170.77411746,6.58787879,0.00251166,124170.77411746,1
2003,1,MS,123713.24811725,6.49393939,0.00249180,123713.24811725,1
2004,1,MS,123263.11642997,6.41818182,0.00247588,123263.11642997,1
2005,1,MS,122817.20447623,6.43333333,0.00247906,122817.20447623,1
2006,1,MS,122374.11025277,6.49696970,0.00249244,122374.11025277,1
2007,1,MS,121932.13516533,6.61515151,0.00251745,121932.13516533,1
2008,1,MS,121489.00604919,6.80303030,0.00255769,121489.00604919,1
2009,1,MS,121043.36616821,7.03636364,0.00260849,121043.36616821,1
2010,1,MS,120594.18781719,7.30606061,0.00266835,120594.18781719,1
2011,1,MS,120140.86205635,7.59696970,0.00273432,120140.86205635,1
2012,1,MS,119680.77096355,7.90909091,0.00280676,119680.77096355,1
2013,1,MS,119210.32060384,8.17878788,0.00287075,119210.32060384,1
2014,1,MS,118725.61170591,8.39090909,0.00292202,118725.61170591,1
2015,1,MS,118219.82138691,8.54545455,0.00295989,118219.82138691,1
2016,1,MS,474498.21794694,8.65757576,0.00298765,474498.21794694,1
2017,1,MS,473577.59883081,8.75757576,0.00301261,473577.59883081,1
2018,1,MS,472597.83833644,8.83939394,0.00303317,472597.83833644,1
2019,1,MS,471564.94944032,8.89090909,0.00304618,471564.94944032,1
2020,1,MS,470489.53623925,8.91818182,0.00305309,470489.53623925,1
2021,1,MS,469386.83557212,8.91212121,0.00305155,469386.83557212,1
2022,1,MS,468275.12313732,8.86666667,0.00304005,468275.12313732,1
2023,1,MS,467166.94383108,8.83030303,0.00303088,467166.94383108,1
