t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48712610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.48221011,NA,NA
19,1,MS,roots,0.01654544,3.36772821,0.00813420,0.01076802,0.00134694,0.98343039,0.07370021,0.00017714,NA,0.07005709,0.06406829,NA,NA,NA,0.04915473,0.57136910,0.99980628,NA,0.87200128,NA,NA,14.69398555,0.58300390,16.83864106,0.16138107,NA,2.04090597,9.10651950,0.00004633,0.03538922,24.31569063,NA,0.00000000,0.00002460,0.00000000,NA,NA,93.25911980,1.65917644,0.18328010
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38683810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.87908790,NA,NA
20,1,MS,roots,0.01676099,3.80790012,0.00996994,0.01306457,0.00163199,0.99262391,0.08642168,0.00017738,NA,0.07072563,0.06359393,NA,NA,NA,0.04930538,0.57881284,1.00801049,NA,0.87634042,NA,NA,14.74108019,0.65376915,19.03950058,0.16018622,NA,2.07123963,9.13592748,0.00004693,0.03543615,24.42729028,NA,0.00000000,0.00002971,0.00000000,NA,NA,91.26267503,1.68079203,0.18362494
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31518918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.52980882,NA,NA
21,1,MS,roots,0.01705778,4.27388929,0.01027966,0.01332430,0.00166235,1.00479875,0.10068599,0.00017762,NA,0.07159496,0.06328496,NA,NA,NA,0.04955962,0.58906202,1.01902707,NA,0.88272753,NA,NA,14.79028862,0.73029506,21.36944643,0.15940797,NA,2.10339028,9.16556977,0.00004776,0.03548392,24.53736462,NA,0.00000000,0.00003017,0.00000000,NA,NA,89.28409538,1.71055422,0.18443954
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22942186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.06861444,NA,NA
22,1,MS,roots,0.01745332,5.04252563,0.01771524,0.02275310,0.00283609,1.02108556,0.12304906,0.00017786,NA,0.07272290,0.06321155,NA,NA,NA,0.04995507,0.60272116,1.03365773,NA,0.89180143,NA,NA,14.83570197,0.85025245,25.21262814,0.15922306,NA,2.13135031,9.19439884,0.00004887,0.03553278,24.63717653,NA,0.00000000,0.00005131,0.00000000,NA,NA,87.34230513,1.75021846,0.18588953
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14240882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.75375259,NA,NA
23,1,MS,roots,0.01790888,5.76091249,0.01787838,0.02272569,0.00283028,1.04015973,0.14580456,0.00017811,NA,0.07403860,0.06327820,NA,NA,NA,0.05042837,0.61845326,1.05087567,NA,0.90261915,NA,NA,14.88451070,0.95716475,28.80456247,0.15939094,NA,2.16225016,9.22365713,0.00005014,0.03558293,24.73644680,NA,0.00000000,0.00005104,0.00000000,NA,NA,85.43308987,1.79590230,0.18774518
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05253932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.21436413,NA,NA
24,1,MS,roots,0.01824185,6.40849338,0.01460513,0.01832783,0.00228055,1.05616744,0.16864078,0.00017837,NA,0.07513873,0.06313846,NA,NA,NA,0.05078223,0.62995184,1.06496168,NA,0.91027958,NA,NA,14.93982443,1.04981027,32.04246690,0.15903895,NA,2.19932205,9.25378161,0.00005108,0.03563401,24.83915418,NA,0.00000000,0.00004099,0.00000000,NA,NA,83.57611175,1.82929257,0.18905942
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96280782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.28818493,NA,NA
25,1,MS,roots,0.01843282,7.23496352,0.01998786,0.02478539,0.00308213,1.06857985,0.19760907,0.00017863,NA,0.07595906,0.06278929,NA,NA,NA,0.05100082,0.63654684,1.07503137,NA,0.91410055,NA,NA,14.99312489,1.16359310,36.17481762,0.15815941,NA,2.23418968,9.28327077,0.00005161,0.03568562,24.93400543,NA,0.00000000,0.00005522,0.00000000,NA,NA,81.79928681,1.84844355,0.18974916
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87461375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.91668798,NA,NA
26,1,MS,roots,0.01864306,8.24847613,0.02805630,0.03443771,0.00428113,1.08258858,0.23312597,0.00017889,NA,0.07686362,0.06255975,NA,NA,NA,0.05126377,0.64380696,1.08624453,NA,0.91858087,NA,NA,15.04225993,1.29773415,41.24238067,0.15758122,NA,2.26468166,9.31175707,0.00005220,0.03573782,25.01805491,NA,0.00000000,0.00007647,0.00000000,NA,NA,80.12909422,1.86952593,0.19068713
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78162445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.04216943,NA,NA
27,1,MS,roots,0.01898245,8.99907438,0.01731776,0.02093170,0.00260057,1.10101413,0.26455236,0.00017915,NA,0.07811545,0.06259044,NA,NA,NA,0.05170086,0.65552725,1.10229606,NA,0.92680011,NA,NA,15.10531688,1.38769324,44.99537189,0.15765854,NA,2.30875616,9.34225716,0.00005315,0.03579097,25.11501917,NA,0.00000000,0.00004630,0.00000000,NA,NA,78.53518475,1.90356002,0.19240675
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68038923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.02649793,NA,NA
28,1,MS,roots,0.01919379,9.41092783,0.01060986,0.01259052,0.00156309,1.11532861,0.28860953,0.00017942,NA,0.07909277,0.06238292,NA,NA,NA,0.05203126,0.66282541,1.11441377,NA,0.93128680,NA,NA,15.17707275,1.42984505,47.05463917,0.15713581,NA,2.36131825,9.37397615,0.00005374,0.03584471,25.21918754,NA,0.00000000,0.00002774,0.00000000,NA,NA,76.99744342,1.92475285,0.19350695
29,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57422336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.06180791,NA,NA
29,1,MS,roots,0.01927625,9.46133974,0.00955977,0.01113729,0.00138168,1.12556472,0.30272597,0.00017969,NA,0.07977387,0.06193174,NA,NA,NA,0.05222167,0.66567326,1.12232051,NA,0.93172644,NA,NA,15.25018611,1.42304902,47.30669872,0.15599935,NA,2.41515535,9.40592773,0.00005397,0.03589869,25.32327495,NA,0.00000000,0.00002443,0.00000000,NA,NA,75.48280485,1.93302263,0.19392727
30,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46812818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.69192750,NA,NA
30,1,MS,roots,0.01922896,9.32269837,0.00984122,0.01126628,0.00139679,1.13168090,0.31103706,0.00017996,NA,0.08014662,0.06122938,NA,NA,NA,0.05223655,0.66404007,1.12587616,NA,0.92792603,NA,NA,15.32195413,1.39135797,46.61349186,0.15423017,NA,2.46769441,9.43777058,0.00005384,0.03595253,25.42526573,NA,0.00000000,0.00002462,0.00000000,NA,NA,73.96408313,1.92828006,0.19361256
