N_content_total_DM_shoot,N_content_mstruct_roots,sum_dry_mass_shoot,C_N_ratio,N_content_mstruct_shoot,NS,plant,axis,shoot_roots_ratio,senesced_mstruct,Cont_WSC_DM_laminae,sum_dry_mass_stem,dry_mass_phloem,sum_dry_mass,NS_shoot,Tillers_Photosynthesis_An,sum_NSC_g,N_content_mstruct,sum_dry_mass_laminae,Total_Transpiration,sum_dry_mass_roots,mstruct_laminae,Cont_WSC_DM_shoot,C_exudated,shoot_roots_mstruct_ratio,NS_laminae,sum_N_g_shoot,N_content,NS_stem,Cont_WSC_DM_roots,sum_C_g,sum_N_g,sum_respi_roots,t,Tillers_Photosynthesis,C_N_ratio_shoot,Total_Photosynthesis,NS_roots,C_respired_roots,mstruct_stem,N_content_roots,NNI,mstruct_shoot,Cont_WSC_DM_stem,sum_respi_shoot,N_content_shoot,Cont_WSC_DM,C_respired_shoot,mstruct
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0329900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0700100000,NA,NA,NA,21.3382600000,NA,NA,NA,NA,NA,NA,NA,NA,29.4289400000,287.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.6531300000,NA,NA,NA,2.4668700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0345800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685500000,NA,NA,NA,32.3539300000,NA,NA,NA,NA,NA,NA,NA,NA,30.2586200000,288.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.7066200000,NA,NA,NA,2.4669900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0345800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685500000,NA,NA,NA,23.9654300000,NA,NA,NA,NA,NA,NA,NA,NA,32.7545700000,289.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.3192300000,NA,NA,NA,2.4669900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0359400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0913600000,NA,NA,NA,33.5982800000,NA,NA,NA,NA,NA,NA,NA,NA,35.1988400000,290.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.1449700000,NA,NA,NA,2.4671000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0359400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0913600000,NA,NA,NA,22.0153700000,NA,NA,NA,NA,NA,NA,NA,NA,31.0740600000,291.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.7584700000,NA,NA,NA,2.4671000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0376900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420700000,NA,NA,NA,31.6120600000,NA,NA,NA,NA,NA,NA,NA,NA,26.5933900000,292.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.5088200000,NA,NA,NA,2.4672500000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0376900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420700000,NA,NA,NA,14.8926600000,NA,NA,NA,NA,NA,NA,NA,NA,18.8239200000,293.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.9875800000,NA,NA,NA,2.4672500000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0396300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230200000,NA,NA,NA,25.4484700000,NA,NA,NA,NA,NA,NA,NA,NA,21.5444800000,294.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.3389700000,NA,NA,NA,2.4674100000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0396300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230200000,NA,NA,NA,10.4192900000,NA,NA,NA,NA,NA,NA,NA,NA,20.1036900000,295.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.2225400000,NA,NA,NA,2.4674100000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0415800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187300000,NA,NA,NA,20.5924500000,NA,NA,NA,NA,NA,NA,NA,NA,21.0948700000,296.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.1666500000,NA,NA,NA,2.4675800000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0415800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0187300000,NA,NA,NA,6.9382500000,NA,NA,NA,NA,NA,NA,NA,NA,19.6617100000,297.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.1072700000,NA,NA,NA,2.4675800000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0435300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113800000,NA,NA,NA,17.7144200000,NA,NA,NA,NA,NA,NA,NA,NA,18.9202000000,298.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.1497800000,NA,NA,NA,2.4677400000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0435300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113800000,NA,NA,NA,5.6947600000,NA,NA,NA,NA,NA,NA,NA,NA,17.8848400000,299.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.7478700000,NA,NA,NA,2.4677400000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0454000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0030000000,NA,NA,NA,15.7701000000,NA,NA,NA,NA,NA,NA,NA,NA,15.7970500000,300.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.7086900000,NA,NA,NA,2.4678900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0454000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0030000000,NA,NA,NA,5.4928600000,NA,NA,NA,NA,NA,NA,NA,NA,16.8716300000,301.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.6793100000,NA,NA,NA,2.4678900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0472100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018100000,NA,NA,NA,14.9587800000,NA,NA,NA,NA,NA,NA,NA,NA,14.8022400000,302.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9629800000,NA,NA,NA,2.4680300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0472100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018100000,NA,NA,NA,5.3134000000,NA,NA,NA,NA,NA,NA,NA,NA,14.3022800000,303.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7284500000,NA,NA,NA,2.4680300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0489800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013300000,NA,NA,NA,14.5232500000,NA,NA,NA,NA,NA,NA,NA,NA,14.1802400000,304.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5953700000,NA,NA,NA,2.4681700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0489800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013300000,NA,NA,NA,5.2672500000,NA,NA,NA,NA,NA,NA,NA,NA,14.0014900000,305.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6393600000,NA,NA,NA,2.4681700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0508700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0059400000,NA,NA,NA,15.6433500000,NA,NA,NA,NA,NA,NA,NA,NA,15.9004000000,306.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0873800000,NA,NA,NA,2.4683000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0508700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0059400000,NA,NA,NA,6.0600400000,NA,NA,NA,NA,NA,NA,NA,NA,18.9026800000,307.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.7125800000,NA,NA,NA,2.4683000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0527800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425300000,NA,NA,NA,18.0455500000,NA,NA,NA,NA,NA,NA,NA,NA,21.7464400000,308.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.6196600000,NA,NA,NA,2.4684400000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0527800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425300000,NA,NA,NA,10.5539100000,NA,NA,NA,NA,NA,NA,NA,NA,23.5181600000,309.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.7150400000,NA,NA,NA,2.4684400000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0546100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0602100000,NA,NA,NA,24.8680700000,NA,NA,NA,NA,NA,NA,NA,NA,23.4766500000,310.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.8822500000,NA,NA,NA,2.4685600000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0546100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0602100000,NA,NA,NA,18.5452600000,NA,NA,NA,NA,NA,NA,NA,NA,26.1736200000,311.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.2231300000,NA,NA,NA,2.4685600000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0562400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0888200000,NA,NA,NA,31.2315800000,NA,NA,NA,NA,NA,NA,NA,NA,27.3554700000,312.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.8617900000,NA,NA,NA,2.4686700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0562400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0888200000,NA,NA,NA,23.5738600000,NA,NA,NA,NA,NA,NA,NA,NA,27.8651700000,313.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.0627000000,NA,NA,NA,2.4686700000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0578500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0923100000,NA,NA,NA,34.7335700000,NA,NA,NA,NA,NA,NA,NA,NA,27.7594600000,314.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.8634100000,NA,NA,NA,2.4687900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0578500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0923100000,NA,NA,NA,24.1437000000,NA,NA,NA,NA,NA,NA,NA,NA,26.3942700000,315.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.0129100000,NA,NA,NA,2.4687900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0595500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0771600000,NA,NA,NA,34.1831200000,NA,NA,NA,NA,NA,NA,NA,NA,26.1115600000,316.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.7523200000,NA,NA,NA,2.4689200000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0595500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0771600000,NA,NA,NA,20.8524600000,NA,NA,NA,NA,NA,NA,NA,NA,24.8228400000,317.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.8876300000,NA,NA,NA,2.4689200000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0614400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380300000,NA,NA,NA,29.7435600000,NA,NA,NA,NA,NA,NA,NA,NA,21.8826800000,318.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.2852600000,NA,NA,NA,2.4690600000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0614400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380300000,NA,NA,NA,14.2412200000,NA,NA,NA,NA,NA,NA,NA,NA,19.9073800000,319.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3675700000,NA,NA,NA,2.4690600000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0634000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140400000,NA,NA,NA,23.0181300000,NA,NA,NA,NA,NA,NA,NA,NA,18.5342400000,320.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.0192400000,NA,NA,NA,2.4692200000
