t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,
146,15.95,0.865586448,486.6666667,1.375833333,0,,2024/4/16 2:00,
147,15.95,0.852182722,487.8333333,1.423333333,0,,2024/4/16 3:00,
148,15.69166667,0.857196367,493.8333333,0.8675,0,,2024/4/16 4:00,
149,15.63333333,0.8684705,497.6666667,0.95,9.466666667,,2024/4/16 5:00,
150,15.81666667,0.886384715,496.5,1.105,51.875,,2024/4/16 6:00,
151,16.21666667,0.885952209,494.8333333,1.2,156.9666667,,2024/4/16 7:00,
152,15.86666667,0.910813309,499.1666667,1.098333333,118.2916667,,2024/4/16 8:00,
153,16.45,0.926890157,486.8333333,1.5,347.9583333,,2024/4/16 9:00,
154,17.53333333,0.885664394,475.6666667,2.054166667,399.7333333,,2024/4/16 10:00,
155,17.44166667,0.853027385,477.6666667,2.453333333,243.4833333,,2024/4/16 11:00,
156,17.80833333,0.858567691,476.5,2.806666667,499.3,,2024/4/16 12:00,
157,18.5,0.799859,472.1666667,2.4475,395.0416667,,2024/4/16 13:00,
158,18.15,0.790299344,474.8333333,2.315,287.725,,2024/4/16 14:00,
159,17.90833333,0.822735404,474.6666667,2.055833333,234.1,,2024/4/16 15:00,
160,17.51666667,0.836988243,482.6666667,1.76,99.975,,2024/4/16 16:00,
161,17.18333333,0.856632349,488.1666667,1.805833333,56.61666667,,2024/4/16 17:00,
162,16.79166667,0.865689866,492.3333333,1.4275,9.966666667,,2024/4/16 18:00,
163,16.54166667,0.860877271,493.1666667,1.3375,0,,2024/4/16 19:00,
164,16.48333333,0.873277012,493.6666667,1.759166667,0,,2024/4/16 20:00,
165,16.68333333,0.857230715,493.1666667,1.5475,0,,2024/4/16 21:00,
166,16.1,0.900082124,499.5,1.2025,0,,2024/4/16 22:00,
167,15.35,0.946915352,515,0.469166667,0,,2024/4/16 23:00,
168,14.95,0.950990002,510.8333333,0.584166667,0,,2024/4/17 0:00,
169,14.925,0.955773956,510.8333333,0.454166667,0,,2024/4/17 1:00,
170,14.49166667,0.963614312,540.5,0.306666667,0,,2024/4/17 2:00,
171,14.14166667,0.964796024,599,0.22,0,,2024/4/17 3:00,
172,14.475,0.963595915,549.1666667,0.325,0,,2024/4/17 4:00,
