t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
219,13.35,0.597976281,468.8333333,2.080833333,0,,4/19/2024 3:00
220,12.85833333,0.604538816,469.8333333,1.89,0,,4/19/2024 4:00
221,11.5,0.679400565,477.3333333,1.255,35.15,,4/19/2024 5:00
222,13.18333333,0.660690717,464.3333333,1.179166667,311.4083333,,4/19/2024 6:00
223,15.16666667,0.596438595,453.5,1.896666667,753.1333333,,4/19/2024 7:00
224,16.91666667,0.550211919,448.3333333,1.990833333,1181.516667,,4/19/2024 8:00
225,18.05833333,0.525112685,447.1666667,2.075833333,1561.366667,,4/19/2024 9:00
226,19.29166667,0.487466428,447.6666667,2.248333333,1861.2,,4/19/2024 10:00
227,20.20833333,0.453180087,446.5,2.473333333,2038.775,,4/19/2024 11:00
228,21.075,0.438816316,448.3333333,2.360833333,2037.933333,,4/19/2024 12:00
229,21.16666667,0.444813168,452.6666667,2.2625,1876.675,,4/19/2024 13:00
230,21.65,0.421069588,452,2.085,1616.466667,,4/19/2024 14:00
231,21.06666667,0.381928676,455,2.275833333,1240.925,,4/19/2024 15:00
232,20.33333333,0.351987703,455,2.013333333,768.3166667,,4/19/2024 16:00
233,19.31666667,0.33747489,456,1.3725,325.775,,4/19/2024 17:00
234,15.99166667,0.406026745,471.6666667,0.76,29.25,,4/19/2024 18:00
235,14.925,0.408823529,476.1666667,0.865833333,0,,4/19/2024 19:00
236,10.78333333,0.674556213,553.5,0.4475,0,,4/19/2024 20:00
237,8.958333333,0.772826562,577.5,0.515,0,,4/19/2024 21:00
238,8.225,0.810107198,570.5,0.44,0,,4/19/2024 22:00
239,7.95,0.8375,563.3333333,0.380833333,0,,4/19/2024 23:00
240,8.533333333,0.80500975,544.6666667,0.529166667,0,,4/20/2024 0:00
241,7.675,0.85698395,557.8333333,0.414166667,0,,4/20/2024 1:00
242,6.975,0.860902882,562.6666667,0.443333333,0,,4/20/2024 2:00
243,6.258333333,0.887778362,562.8333333,0.45,0,,4/20/2024 3:00
244,6.6,0.867226315,537.8333333,0.4475,0,,4/20/2024 4:00
245,7.525,0.848363286,523.5,0.506666667,37.95833333,,4/20/2024 5:00
246,10.725,0.823122276,486.3333333,0.404166667,329.675,,4/20/2024 6:00
247,17.1,0.629676979,482,0.448333333,790.2166667,,4/20/2024 7:00
248,19.46666667,0.480509911,470.8333333,0.701666667,961.05,,4/20/2024 8:00
249,20.94166667,0.449112665,464,0.611666667,1107.325,,4/20/2024 9:00
250,22.625,0.41998178,461,1.036666667,1690.966667,,4/20/2024 10:00
251,24.1,0.410833333,463.5,0.946666667,1922.941667,,4/20/2024 11:00
252,23.94166667,0.419354839,461.3333333,0.936666667,946.75,,4/20/2024 12:00
253,23.70833333,0.389946038,467.1666667,1.52,863.2,,4/20/2024 13:00
254,25.175,0.329373144,467.6666667,2.160833333,1117.391667,,4/20/2024 14:00
255,25.30833333,0.344245366,469.3333333,1.823333333,912.925,,4/20/2024 15:00
256,23.79166667,0.384998022,470.1666667,0.925,320.55,,4/20/2024 16:00
257,21.55,0.456430191,488.3333333,0.454166667,79.83333333,,4/20/2024 17:00
258,19.36666667,0.607095245,568.6666667,0.310833333,5.25,,4/20/2024 18:00
259,18.76666667,0.591860286,554.1666667,0.589166667,0,,4/20/2024 19:00
260,19.20833333,0.558768587,537.8333333,0.5975,0,,4/20/2024 20:00
261,17.26666667,0.695905938,564.5,0.470833333,0,,4/20/2024 21:00
262,18.375,0.549972391,526.6666667,0.559166667,0,,4/20/2024 22:00
263,18.375,0.511521465,512.1666667,0.4325,0,,4/20/2024 23:00
264,19.29166667,0.405125531,493,0.5475,0,,4/21/2024 0:00
265,19.43333333,0.383956271,490.5,0.864166667,0,,4/21/2024 1:00
266,18.66666667,0.44354215,508,0.51,0,,4/21/2024 2:00
267,17.59166667,0.522881777,529.3333333,0.516666667,0,,4/21/2024 3:00
268,18.94166667,0.43440122,486.3333333,1.280833333,0,,4/21/2024 4:00
269,17.79166667,0.537082515,497.6666667,0.560833333,7.883333333,,4/21/2024 5:00
270,15.75,0.81728349,491,0.569166667,65.225,,4/21/2024 6:00
271,15.55833333,0.890421311,481,0.481666667,203.3833333,,4/21/2024 7:00
272,15.56666667,0.889737065,478.3333333,0.900833333,266.1916667,,4/21/2024 8:00
273,16.28333333,0.887407674,472.6666667,0.486666667,283.8416667,,4/21/2024 9:00
274,16.48333333,0.881291126,473.1666667,0.648333333,359.625,,4/21/2024 10:00
275,16.35833333,0.913932222,467.8333333,0.794166667,326.7166667,,4/21/2024 11:00
276,16.15,0.916803055,484.5,1.063333333,243.5333333,,4/21/2024 12:00
277,15.25833333,0.932582105,500.6666667,1.246666667,223.5,,4/21/2024 13:00
278,14.63333333,0.944906341,508.1666667,1.059166667,159.6916667,,4/21/2024 14:00
279,14.50833333,0.957605733,503.1666667,1.385,83.275,,4/21/2024 15:00
280,14.375,0.966429298,507.1666667,1.22,67.1,,4/21/2024 16:00
281,14.49166667,0.970715945,502.1666667,0.955,27.4,,4/21/2024 17:00
282,14.59166667,0.973864093,506.8333333,0.855,5.758333333,,4/21/2024 18:00
283,14.73333333,0.971667164,510.8333333,0.751666667,0,,4/21/2024 19:00
284,14.89166667,0.97390705,512.6666667,0.87,0,,4/21/2024 20:00
285,14.96666667,0.975497403,520,0.839166667,0,,4/21/2024 21:00
286,15.14166667,0.973326867,516.1666667,0.665833333,0,,4/21/2024 22:00
287,15.30833333,0.971718915,518,0.785,0,,4/21/2024 23:00
288,15.475,0.968228376,517.5,0.7075,0,,4/22/2024 0:00
289,15.625,0.968063122,514.3333333,0.500833333,0,,4/22/2024 1:00
290,15.775,0.972575997,518.3333333,0.383333333,0,,4/22/2024 2:00
291,15.90833333,0.97464503,535.5,0.2075,0,,4/22/2024 3:00
292,16.125,0.976331361,533.3333333,0.503333333,0,,4/22/2024 4:00
